440,1130.0,2404.0,3602.0,0.313714602998,0.667406996113,"1,274",35.37%,GA,Evans County,13109
441,1920.0,9622.0,11764.0,0.163209792588,0.817919075145,"7,702",65.47%,GA,Fannin County,13111
442,23255.0,35034.0,60387.0,0.385099441933,0.580157981022,"11,779",19.51%,GA,Fayette County,13113
443,9127.0,24045.0,34250.0,0.266481751825,0.70204379562,"14,918",43.56%,GA,Floyd County,13115
444,23427.0,69801.0,97314.0,0.240736173624,0.717276034281,"46,374",47.65%,GA,Forsyth County,13117
445,1243.0,7054.0,8474.0,0.14668397451,0.832428605145,"5,811",68.57%,GA,Franklin County,13119
446,281875.0,110372.0,407173.0,0.692273308888,0.271069054186,"171,503",42.12%,GA,Fulton County,13121
447,1955.0,10465.0,12713.0,0.153779595689,0.823173129867,"8,510",66.94%,GA,Gilmer County,13123
448,138.0,1235.0,1390.0,0.0992805755396,0.888489208633,"1,097",78.92%,GA,Glascock County,13125
449,11738.0,21482.0,34041.0,0.344819482389,0.631062542228,"9,744",28.62%,GA,Glynn County,13127
450,3176.0,15171.0,18850.0,0.16848806366,0.804827586207,"11,995",63.63%,GA,Gordon County,13129
451,3005.0,6047.0,9187.0,0.327092630891,0.658212691847,"3,042",33.11%,GA,Grady County,13131
452,3194.0,5488.0,8831.0,0.361680443891,0.621447174725,"2,294",25.98%,GA,Greene County,13133
453,165063.0,146463.0,323931.0,0.509562221584,0.452142585921,"18,600",5.74%,GA,Gwinnett County,13135
454,2483.0,13184.0,16128.0,0.153955853175,0.81746031746,"10,701",66.35%,GA,Habersham County,13137
455,16153.0,51681.0,70133.0,0.230319535739,0.736899890209,"35,528",50.66%,GA,Hall County,13139
456,2695.0,841.0,3572.0,0.754479283315,0.235442329227,"1,854",51.90%,GA,Hancock County,13141
457,1474.0,9579.0,11317.0,0.130246531766,0.846425731201,"8,105",71.62%,GA,Haralson County,13143
458,4082.0,11931.0,16392.0,0.249023914104,0.727855051245,"7,849",47.88%,GA,Harris County,13145
459,2583.0,7285.0,10077.0,0.256326287586,0.722933412722,"4,702",46.66%,GA,Hart County,13147
460,743.0,3370.0,4206.0,0.176652401331,0.801236329054,"2,627",62.46%,GA,Heard County,13149
461,49902.0,45641.0,98037.0,0.509011903669,0.465548721401,"4,261",4.35%,GA,Henry County,13151
462,22460.0,35351.0,59559.0,0.377105055491,0.593545895666,"12,891",21.64%,GA,Houston County,13153
463,890.0,2711.0,3659.0,0.243235856791,0.74091281771,"1,821",49.77%,GA,Irwin County,13155
464,4469.0,21754.0,27057.0,0.165169826662,0.80400635695,"17,285",63.88%,GA,Jackson County,13157
465,1544.0,4353.0,6016.0,0.25664893617,0.723570478723,"2,809",46.69%,GA,Jasper County,13159
466,901.0,4102.0,5089.0,0.177048536058,0.806052269601,"3,201",62.90%,GA,Jeff Davis County,13161
467,3809.0,3057.0,6934.0,0.54932218056,0.440871070089,752,10.85%,GA,Jefferson County,13163
468,1108.0,1892.0,3034.0,0.365194462755,0.623599208965,784,25.84%,GA,Jenkins County,13165
469,1136.0,2519.0,3682.0,0.308527973927,0.684139054861,"1,383",37.56%,GA,Johnson County,13167
470,3960.0,8304.0,12524.0,0.316192909614,0.663046949856,"4,344",34.69%,GA,Jones County,13169
471,2267.0,5183.0,7575.0,0.299273927393,0.684224422442,"2,916",38.50%,GA,Lamar County,13171
472,805.0,1984.0,2861.0,0.281370150297,0.693463823838,"1,179",41.21%,GA,Lanier County,13173
473,6737.0,12401.0,19448.0,0.346410941999,0.63764911559,"5,664",29.12%,GA,Laurens County,13175
474,3166.0,10641.0,14106.0,0.22444349922,0.754359846874,"7,475",52.99%,GA,Lee County,13177
475,9531.0,6125.0,16082.0,0.59265016789,0.380860589479,"3,406",21.18%,GA,Liberty County,13179
476,1271.0,2759.0,4100.0,0.31,0.672926829268,"1,488",36.29%,GA,Lincoln County,13181
477,1356.0,2623.0,4109.0,0.330007301046,0.638354830859,"1,267",30.83%,GA,Long County,13183
