year,state,county,fips,vote_rep,vote_dem,vote_oth,vote_total,pct_rep,pct_dem,pct_oth,winner,runnerup,pct_winner,margin_winner_over_runnerup
2012,GA,Thomas,13275,11156,7653,139,18948,58.88,40.39,0.73,rep,dem,58.88,18.49
2012,GA,Tift,13277,9185,4660,82,13927,65.95,33.46,0.59,rep,dem,65.95,32.49
2012,GA,Toombs,13279,6524,2746,74,9344,69.82,29.39,0.79,rep,dem,69.82,40.43
2012,GA,Towns,13281,4876,1273,62,6211,78.51,20.5,1.0,rep,dem,78.51,58.01
2012,GA,Treutlen,13283,1652,1074,24,2750,60.07,39.05,0.87,rep,dem,60.07,21.02
2012,GA,Troup,13285,15179,10547,260,25986,58.41,40.59,1.0,rep,dem,58.41,17.82
2012,GA,Turner,13287,2028,1510,21,3559,56.98,42.43,0.59,rep,dem,56.98,14.55
2012,GA,Twiggs,13289,1907,2270,25,4202,45.38,54.02,0.59,dem,rep,54.02,8.64
2012,GA,Union,13291,8773,2139,164,11076,79.21,19.31,1.48,rep,dem,79.21,59.9
2012,GA,Upson,13293,7230,3959,74,11263,64.19,35.15,0.66,rep,dem,64.19,29.04
2012,GA,Walker,13295,16247,5274,365,21886,74.23,24.1,1.67,rep,dem,74.23,50.13
2012,GA,Walton,13297,29036,8148,413,37597,77.23,21.67,1.1,rep,dem,77.23,55.56
2012,GA,Ware,13299,7941,3900,98,11939,66.51,32.67,0.82,rep,dem,66.51,33.84
2012,GA,Warren,13301,990,1529,7,2526,39.19,60.53,0.28,dem,rep,60.53,21.34
2012,GA,Washington,13303,4035,4714,58,8807,45.82,53.53,0.66,dem,rep,53.53,7.71
2012,GA,Wayne,13305,7557,2596,111,10264,73.63,25.29,1.08,rep,dem,73.63,48.34
2012,GA,Webster,13307,601,582,4,1187,50.63,49.03,0.34,rep,dem,50.63,1.6
2012,GA,Wheeler,13309,1366,772,22,2160,63.24,35.74,1.02,rep,dem,63.24,27.5
2012,GA,White,13311,8651,1671,154,10476,82.58,15.95,1.47,rep,dem,82.58,66.63
2012,GA,Whitfield,13313,19305,7210,346,26861,71.87,26.84,1.29,rep,dem,71.87,45.03
2012,GA,Wilcox,13315,2053,1060,15,3128,65.63,33.89,0.48,rep,dem,65.63,31.74
2012,GA,Wilkes,13317,2635,2087,39,4761,55.35,43.84,0.82,rep,dem,55.35,11.51
2012,GA,Wilkinson,13319,2246,2181,23,4450,50.47,49.01,0.52,rep,dem,50.47,1.46
2012,GA,Worth,13321,5869,2487,60,8416,69.74,29.55,0.71,rep,dem,69.74,40.19
